properties/id;properties/nom;properties/desserte;properties/pmr;properties/ascenseur;properties/escalator;properties/gid;properties/last_update;properties/last_update_fme;geometry/type;geometry/coordinates/0;geometry/coordinates/1
335;Caluire Thimonnier;ZI4A:R;true;false;false;1026;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.8051100924053;4.869024029706152
336;Caluire Thimonnier;ZI4A:A;true;false;false;1025;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.805074695099364;4.868597672520186
337;Caluire Victor Hugo;40A:A;false;false;false;1027;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.800961767592554;4.84152807030786
338;Caluire Victor Hugo;40A:R;false;false;false;1028;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.800781241705316;4.841284080057449
339;Cambon;26A:A;false;false;false;1029;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.72202310001393;4.879595331087408
340;Cambon;26A:R;false;false;false;1030;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.72216522383276;4.879679003124228
342;Camping International;3A:A,3A:R,89D:R,89E:R;false;false;false;1031;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.821423278437436;4.760732304499259
343;Carette;C13B:A,S5A:A;true;false;false;1033;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.78644829869905;4.840206676894378
351;Carrefour Liberation;5A:A,5A:R;true;false;false;1035;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.75838841605945;4.773932139418538
352;Carrefour Liberation;5A:A,5A:R,73D:R,C21A:A,C21A:R;false;false;false;10755;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.7588803382298;4.775593098231488
353;Carry;C11A:A;true;false;false;1041;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.755037339436356;4.870949922235391
354;Carry;C11A:R;true;false;false;1040;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.75503211443644;4.870383894332271
355;Castellane;132:A,171:A,S8A:A,S8A:R;false;false;false;17;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.80800190950133;4.898696805060113
356;Castellane;132:R,171:R,S8A:A,S8A:R;true;false;false;18;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.80812349215035;4.899218999399309
359;Centre Psychotherapique;71A:R;true;false;false;1043;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.81797272936736;4.835608672192409
363;Ctre Social La Mulatiere;17B:A,8B:R;true;false;false;1049;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.7286139310064;4.806576437746001
364;Ctre Social La Mulatiere;17B:R,8B:A;true;false;false;1050;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.728588932934564;4.806485350170326
365;Centre Sportif;C25B:R,ZI8A:R;true;false;false;1053;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.69521079100096;4.957290055651128
366;Centre Sportif;C25B:A,ZI8A:A;true;false;false;1052;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.694869409098715;4.957260963334408
367;Francheville Taffignon;C20D:A,C20E:A;true;false;false;1056;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73470776747968;4.775294131715904
368;Francheville Taffignon;14B:A,14B:R,C20D:R,C20E:R;true;false;false;1055;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73460237182863;4.775173780070633
371;Cesar Paulet;71A:R;true;false;false;1057;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.81679368786598;4.841618817524903
372;Chabrol;73D:A,73E:A;false;false;false;1060;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73340195437677;4.709839562696012
373;Chabrol;73D:R,73E:R;false;false;false;1061;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.734214780072776;4.711636132875347
375;Chamagnieu;21A:R;true;false;false;1062;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.85975482994818;4.753500083752339
378;Champ Blanc;16A:A;true;false;false;1065;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.7610759532809;4.947220193024537
379;Champ Blanc;16A:R;true;false;false;1064;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.761265972090484;4.946802238085318
